price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
1940,https://www.rumah123.com/properti/sleman/hos17165721/,Rumah Cocok Untuk Keluarga Besar Lokasi Maguwoharjo Sleman,"Depok, Sleman",7,4,,415,300
6389,https://www.rumah123.com/properti/sleman/hos17165717/,Villa + Lahan besar dekat kampus Uii,"Ngaglik, Sleman",9,5,8,1527,1000
2887,https://www.rumah123.com/properti/sleman/hos17165685/,Rumah Mewah Baru dekat ke Malioboro,"Mlati, Sleman",6,7,4,636,450
924,https://www.rumah123.com/properti/sleman/hos17165619/,"Beli Rumah, Dapatkan Bonus Satu Unit Lagi di Sleman Jogja","Sleman, Sleman",4,3,1,192,135
914,https://www.rumah123.com/properti/sleman/hos17165614/,"Beli Rumah, Dapatkan Rumah Bonus Gratis di Sleman Jogja","Gamping, Sleman",4,3,1,187,135
966,https://www.rumah123.com/properti/sleman/hos17165612/,"Beli Rumah, Dapatkan Bonus Satu Rumah Lagi di Sleman Jogja","Sleman, Sleman",4,3,1,213,135
924,https://www.rumah123.com/properti/sleman/hos17165604/,"Beli Rumah Sekarang, Gratis Satu Unit Lagi di Sleman Jogja","Sleman, Sleman",4,3,1,192,135
940,https://www.rumah123.com/properti/sleman/hos17165601/,Deal Istimewa Beli Rumah Gratis Satu Unit di Sleman Jogja,"Sleman, Sleman",4,3,1,200,135
574,https://www.rumah123.com/properti/sleman/hos17165591/,Rumah baru dalam cluster dekat Jombor,"Mlati, Sleman",3,2,2,100,88
1050,https://www.rumah123.com/properti/sleman/hos17165549/,KOS EXCLUSIVE sebelah RS JIH Condong Catur,"Depok, Sleman",10,10,2,100,160
612,https://www.rumah123.com/properti/sleman/hos17165510/,"Dijual Rumah Baru Mewah Di Purwomartani, Kalasan, Sleman","Kalasan, Sleman",4,2,,120,84
930,https://www.rumah123.com/properti/sleman/hos17165461/,Mewah baru desain Modern dekat Jogjabay,"Depok, Sleman",4,3,,120,185
